No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
86,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IRAS 13357+8046</a>",203.887534,80.510468,GGroup,20865.555077,0.069600,UUN,4,,4,4,2,,,,,,
87,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B135909.1-025455</a>",210.436167,-3.155889,G,20352.954942,0.067890,SLS,26,,43,10,9,6,,,,1,2
88,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J151106.50+392751.1</a>",227.777208,39.464250,G,17208.086909,0.057400,SUN,9,,37,6,2,2,,,,1,
89,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J152038.17+302817.5</a>",230.159241,30.471710,G,9317.438072,0.031080,SLS,25,,76,12,10,10,,,1,1,1
90,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J152159.64+033335.1</a>",230.498491,3.559761,G,23298.700645,0.077716,SLS,14,,48,10,7,6,,,,1,
91,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J152341.25+024000.3</a>",230.921972,2.666716,G,15734.578078,0.052485,SLS,25,,68,8,6,10,1,,,1,
92,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J161645.10+562114.7</a>",244.187901,56.354333,G,18394.616772,0.061358,SLS,8,,50,8,2,6,,,,1,
93,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">GALEXASC J215531.82-205132.9</a>",328.882917,-20.859167,QSO,20086.094686,0.067000,SUN,9,,10,4,2,,2,,1,,
94,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J222223.94-611647.5</a>",335.599833,-61.279889,G,13248.128511,0.044191,SLS,6,,47,10,4,2,,,,1,1
95,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J223226.98-252534.9</a>",338.112417,-25.426361,G,10882.466225,0.036300,SUN,10,,45,13,5,2,,,1,1,1
96,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MFGC 17200</a>",343.198292,-24.945167,G,23760.950636,0.079258,SLS,10,,38,9,5,2,1,,,1,2
97,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 0251</a>",26.599588,-7.300368,GClstr,,,,6,,,1,,,,,,,
98,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL S0457</a>",66.719868,-49.122474,GClstr,17471.904452,0.058280,UUN,4,,,2,2,,,,,,
99,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 0938+373</a>",145.416063,37.117266,G,15245.879497,0.050855,SLS,20,,56,9,6,10,,,,1,1
100,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 0944+306A</a>",146.875268,30.388954,G,5061.684469,0.016884,SLS,13,1,37,5,4,8,,,,,1
101,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1109+296</a>",167.998401,29.427725,G,8633.447189,0.028798,SLS,24,,53,9,8,6,,,,1,1
102,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 2314+095A</a>",349.177833,9.791944,G,9448.858691,0.031518,PUN,4,,35,8,1,2,,,,1,
103,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 2314+095B</a>",349.195706,9.812603,GPair,,,,3,,22,6,,,,,,,
104,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 2314+095C</a>",349.199083,9.804667,G,16203.782355,0.054050,PUN,4,,33,7,1,2,,,,1,
105,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 2314+095D</a>",349.202125,9.817306,G,,,,3,,27,5,,2,,,,1,
106,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 0243-057</a>",41.470167,-5.588361,G,,,,4,,13,6,,,,,,1,
107,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1043+432</a>",161.574655,43.021675,G,22298.841833,0.074381,SLS,24,,54,9,6,10,,,,1,1
108,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1151+215</a>",178.476208,21.249917,G,6907.000000,0.023039,SLS,28,,32,14,9,2,,,,1,1
109,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1153+256A</a>",179.060001,25.354126,G,9673.003619,0.032266,SLS,22,,34,10,8,4,,,,,1
110,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">UGC 12812</a>",357.827717,20.577918,G,5401.960301,0.018019,S1L,29,,55,13,11,7,1,1,7,4,2
111,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J11444891+1948289</a>",176.203771,19.808020,G,20336.973007,0.067837,SLS,30,,55,9,8,6,,,2,1,3
112,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130008.14+332615.5</a>",195.033874,33.437666,G,7041.000000,0.023486,SLS,19,,64,11,7,8,,,,,1
113,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J131931.74+140533.2</a>",199.882249,14.092540,QSO,171685.444640,0.572681,SLS,54,,66,26,15,8,,,2,,1
114,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">FBQS J172635.1+321322</a>",261.646353,32.223062,G,326773.788214,1.090000,SUN,57,,45,20,9,3,,,2,2,1
115,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGPG 0932.8+5936</a>",144.135872,59.376807,G,,,,5,1,51,7,,4,,,,1,
116,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 152-IG 009 NED02</a>",23.130150,-54.638182,G,,,,5,,25,4,,9,,,,,
