_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad
53.791,-33.4801944,57,2,03 35 09.84,-33 28 48.7,0.0,,19.5296,19.0816,Simbad
53.8134167,-33.4673889,57,3,03 35 15.22,-33 28 02.6,0.0,,19.9118,20.3285,Simbad
53.8392917,-33.4756111,57,4,03 35 21.43,-33 28 32.2,0.0,,20.0022,19.7237,Simbad
54.5225833,-47.4058889,58,1,03 38 05.42,-47 24 21.2,0.0,,20.2363,19.9946,Simbad
54.5352917,-47.3871944,58,2,03 38 08.47,-47 23 13.9,0.0,,19.8911,19.4686,Simbad
54.5455,-47.4116944,58,3,03 38 10.92,-47 24 42.1,0.0,,20.2691,19.7303,Simbad
54.5492917,-47.3856111,58,4,03 38 11.83,-47 23 08.2,0.0,,18.9769,18.628,Simbad
55.1225833,-48.6423056,59,1,03 40 29.42,-48 38 32.3,0.0,,20.2824,19.4815,Simbad
55.1325,-48.6295,59,2,03 40 31.80,-48 37 46.2,0.0,,19.8076,19.7691,Simbad
55.1357083,-48.6258889,59,3,03 40 32.57,-48 37 33.2,0.0,,19.8994,19.4277,Simbad
55.151,-48.6245,59,4,03 40 36.24,-48 37 28.2,0.0,,18.0358,17.7545,Simbad
55.6107917,-41.1556944,60,1,03 42 26.59,-41 09 20.5,0.0,,20.0337,19.9131,Simbad
55.6112917,-41.1446111,60,2,03 42 26.71,-41 08 40.6,0.004923,,17.0741,16.6998,Simbad
55.6192917,-41.17,60,3,03 42 28.63,-41 10 12.0,0.0,,19.9046,18.1355,Simbad
55.6315,-41.1493889,60,4,03 42 31.56,-41 08 57.8,0.0,,20.0069,19.6158,Simbad
56.4230833,-12.3031111,61,1,03 45 41.54,-12 18 11.2,0.0,,18.8986,18.0137,Simbad
56.4277083,-12.2736944,61,2,03 45 42.65,-12 16 25.3,0.0,,18.9152,18.5487,Simbad
56.4292917,-12.296,61,3,03 45 43.03,-12 17 45.6,0.030718,,17.3148,16.9082,Simbad
56.4302083,-12.2628056,61,4,03 45 43.25,-12 15 46.1,0.0,,18.6762,18.1475,Simbad
57.7267083,-38.0846111,62,1,03 50 54.41,-38 05 04.6,0.0,,19.4063,18.679,Simbad
57.7299167,-38.0608889,62,2,03 50 55.18,-38 03 39.2,0.0,,19.4911,19.6442,Simbad
57.7312917,-38.0416944,62,3,03 50 55.51,-38 02 30.1,0.0,,19.8489,19.4295,Simbad
57.7415833,-38.0931111,62,4,03 50 57.98,-38 05 35.2,0.582,,17.6741,17.2139,Simbad
60.3062917,-65.0046111,63,1,04 01 13.51,-65 00 16.6,0.0,,17.7903,17.3981,Simbad
60.318,-64.9855,63,2,04 01 16.32,-64 59 07.8,0.0,,19.4361,18.9773,Simbad
60.3227083,-65.0266111,63,3,04 01 17.45,-65 01 35.8,0.0,,18.7897,18.3087,Simbad
60.3439167,-65.015,63,4,04 01 22.54,-65 00 54.0,0.0,,19.4801,19.4706,Simbad
64.1697917,0.2933056,64,1,04 16 40.75,+00 17 35.9,0.0,,19.3124,18.7293,Simbad
64.179,0.2730278,64,2,04 16 42.96,+00 16 22.9,0.0339,,17.6229,17.2738,Simbad
64.1815833,0.2498611,64,3,04 16 43.58,+00 14 59.5,0.0,,18.8935,18.0679,Simbad
64.1831667,0.2717778,64,4,04 16 43.96,+00 16 18.4,0.0332,,18.4487,18.3673,Simbad
