_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
153.2542083,17.0413611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 85,10 13 01.01,+17 02 28.9,0.022057,4,4,4,3,1.077,32.78,17.68,Simbad,85
154.6159167,49.8503056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 86,10 18 27.82,+49 51 01.1,0.140841,4,4,2,1,1.024,,,Simbad,86
155.6260417,36.58575,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 87,10 22 30.25,+36 35 08.7,0.026795,4,4,3,2,0.921,,,Simbad,87
155.9442917,33.4133889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 88,10 23 46.63,+33 24 48.2,0.11571,4,4,3,2,0.876,,,Simbad,88
157.026625,31.216,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 89,10 28 06.39,+31 12 57.6,0.044971,4,3,1,1,1.065,,,Simbad,89
160.1052083,24.2295556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 90,10 40 25.25,+24 13 46.4,0.043596,4,4,3,2,0.705,,,Simbad,90
161.0794167,2.7973333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 91,10 44 19.06,+02 47 50.4,0.021994,4,4,4,3,0.719,26.92,35.7,Simbad,91
161.5885833,43.024,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 92,10 46 21.26,+43 01 26.4,0.074186,4,4,3,3,0.801,88.85,74.37,Simbad,92
161.7975,-2.3365833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 93,10 47 11.40,-02 20 11.7,0.036855,4,3,3,2,1.3,,,Simbad,93
163.0066667,45.5996111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 94,10 52 01.60,+45 35 58.6,0.130984,4,4,2,2,0.904,,,Simbad,94
