col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
1237657612876447792,6374399052350493966,1312,52781,454,178.36012,58.112393,0.0644,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,1,3,2,1,178.3600417,58.11225,110,3,11 53 26.41,+58 06 44.1,0.06456,,19.7324,19.2437,Simbad,0.5359026580059947
1237657612876447804,6374399052350494161,1313,52790,324,178.35054,58.131705,0.066,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,1,3,2,1,178.3504583,58.1318333,110,2,11 53 24.11,+58 07 54.6,0.065955,,20.0499,19.4929,Simbad,0.48728514869897543
1237657612876447805,6374399052350494143,1312,52781,456,178.34212,58.1327,0.0659,1.27,10.131,0.041,0.062,0.059,1.237,0.182,0.258,0.076,0.176,0.059,0,1,3,2,1,178.3423333,58.1328333,110,1,11 53 22.16,+58 07 58.2,0.065903,,19.3932,18.8232,Simbad,0.6282017966317665
1237657612876447806,6374399052350494046,1313,52790,335,178.39562,58.121481,0.0637,2.79,9.81,0.067,0.411,0.075,1.232,0.188,0.421,0.1,0.314,0.082,0,1,3,2,1,178.3957917,58.1212222,110,4,11 53 34.99,+58 07 16.4,0.06371,,18.6576,18.3315,Simbad,0.9872145025962732
1237657628976218245,6373906505500986169,1198,52669,151,134.34857,39.267473,0.0285,14.11,9.622,0.034,-0.254,0.047,1.122,0.17,0.433,0.07,0.336,0.058,0,1,3,2,1,134.3484583,39.2672222,76,4,08 57 23.63,+39 16 02.0,0.028614,,18.0901,17.6354,Simbad,0.9550463390837299
1237657628976218225,6373906505500986208,1198,52669,150,134.31978,39.262726,0.0954,2.03,10.646,0.026,0.11,0.076,0.68,0.216,0.246,0.088,0.197,0.077,0,1,3,6,1,134.3206667,39.2626389,76,3,08 57 16.96,+39 15 45.5,0.095578,,19.823,19.0635,Simbad,2.491318400593106
1237657630067523674,6374539757626590871,885,52379,514,190.36942,52.81284,0.0542,3.23,9.525,0.041,-0.191,0.049,0.915,0.168,0.266,0.074,0.195,0.061,0,1,3,2,1,190.3700417,52.8128611,123,3,12 41 28.81,+52 48 46.3,0.054238,,19.2657,18.9509,Simbad,1.354896459370485
1237657630067523689,6374539757626590851,885,52379,516,190.39458,52.81082,0.0546,3.49,9.7,0.073,0.133,0.047,1.253,0.121,0.189,0.056,0.117,0.041,0,1,3,2,1,190.395125,52.8106944,123,4,12 41 34.83,+52 48 38.5,0.054624,,18.9729,18.6189,Simbad,1.269203964330771
1237657771784274006,6373625002606987312,903,52400,524,151.6794,53.426998,0.0439,3.14,9.402,0.067,-0.175,0.039,0.801,0.118,0.22,0.061,0.159,0.054,0,1,3,2,1,151.6805833,53.4269444,82,1,10 06 43.34,+53 25 37.0,0.043871,,18.8479,18.7368,Simbad,2.5455602329670994
1237657771784274017,6373625002606987389,903,52400,535,151.71167,53.437239,0.0475,0.33,9.845,0.039,-0.203,0.047,1.035,0.173,0.192,0.06,0.128,0.047,0,1,3,2,1,151.71175,53.4374444,82,2,10 06 50.82,+53 26 14.8,0.047626,,19.2345,18.9473,Simbad,0.7590817128190598
1237657857149567051,6374539757626590756,885,52379,519,190.32275,52.796638,0.033,0.3,9.449,0.049,-0.637,0.086,1.935,0.243,0.399,0.115,0.27,0.09,0,1,3,1,1,190.3231667,52.7966111,123,1,12 41 17.56,+52 47 47.8,0.033051,,20.3207,19.851,Simbad,0.9121965140318775
1237658203974730016,6374539801650004601,971,52644,314,185.28347,49.476465,0.0453,2.25,9.605,0.044,-0.324,0.054,0.914,0.166,0.346,0.082,0.269,0.071,0,1,3,2,1,185.2835,49.4761111,274,2,12 21 08.04,+49 28 34.0,0.045246,,19.0698,18.9493,Simbad,1.2759711453891953
1237658203974730050,6374539801650004420,971,52644,264,185.33672,49.443275,0.0551,0.85,9.714,0.044,-0.268,0.066,0.978,0.204,0.261,0.09,0.188,0.073,0,1,3,1,1,185.3368333,49.44375,274,5,12 21 20.84,+49 26 37.5,0.05513,,19.4002,19.2435,Simbad,1.7304428267628924
1237658203974729873,6374539801650004610,970,52413,66,185.30597,49.474862,0.0454,0.32,10.494,0.024,0.029,0.101,1.375,0.23,0.282,0.083,0.197,0.072,0,1,3,2,1,185.3062083,49.475,274,4,12 21 13.49,+49 28 30.0,0.045464,,19.2104,18.7238,Simbad,0.7466878517709189
1237658203974729881,6374539801650004572,971,52644,261,185.33718,49.464555,0.0405,1.06,9.641,0.041,-0.41,0.075,1.493,0.245,0.294,0.091,0.197,0.068,0,1,3,1,1,185.3379167,49.4646111,274,6,12 21 21.10,+49 27 52.6,0.040539,,19.6009,19.1365,Simbad,1.7354518478478131
1237658206120312954,6374504577549471347,968,52412,402,178.46243,51.031177,0.0785,0.3,11.226,0.022,0.519,0.105,1.813,0.243,0.516,0.103,0.388,0.092,0,1,3,2,1,178.4619583,51.0316111,111,2,11 53 50.87,+51 01 53.8,0.078598,,19.2952,18.6614,Simbad,1.8928050616718515
1237658206120312987,6374504577549471457,968,52412,410,178.48948,51.047887,0.1263,0.25,10.884,0.031,1.279,0.043,2.515,0.137,0.596,0.077,0.392,0.066,0,1,3,2,1,178.4895833,51.048,111,4,11 53 57.50,+51 02 52.8,0.126289,,19.8802,19.2041,Simbad,0.46919493708472393
1237658206120312945,6374504577549471241,968,52412,408,178.45158,51.011838,0.0651,2.04,10.658,0.023,0.078,0.052,0.927,0.165,0.188,0.052,0.132,0.041,0,1,3,7,1,178.4515,51.0118889,111,1,11 53 48.36,+51 00 42.8,0.065244,,19.075,18.4935,Simbad,0.2577005741458559
1237658802572099818,6374399088857713045,1014,52707,497,173.83038,54.950283,0.0605,0.69,9.798,0.071,0.125,0.072,1.264,0.186,0.443,0.111,0.335,0.096,0,1,3,2,1,173.830875,54.9497778,106,1,11 35 19.41,+54 56 59.2,0.060588,,18.8622,18.6836,Simbad,2.086878323862355
1237658802572099830,6374399088857713122,1014,52707,487,173.85967,54.959721,0.0542,0.75,10.323,0.051,0.29,0.088,2.115,0.218,0.614,0.116,0.444,0.096,0,1,3,2,1,173.859625,54.9597222,106,3,11 35 26.31,+54 57 35.0,0.054225,,19.1092,18.759,Simbad,0.09311291623100736
1237658802572099831,6374399088857713180,1015,52734,433,173.85342,54.963453,0.0555,0.18,10.198,0.043,0.084,0.099,1.731,0.253,0.639,0.137,0.492,0.118,0,1,3,2,1,173.8534167,54.9634167,106,2,11 35 24.82,+54 57 48.3,0.055501,,19.5485,19.0667,Simbad,0.13085785742453318
1237659119864250494,6374961990492752451,1050,52721,487,228.58812,46.112348,0.0369,0.48,9.502,0.042,-0.512,0.045,0.683,0.121,0.216,0.072,0.163,0.063,0,1,3,2,1,228.5878333,46.1121389,169,3,15 14 21.08,+46 06 43.7,0.036936,,19.0531,18.7939,Simbad,1.0385611560659314
1237659119864250502,6374961990492752412,1050,52721,493,228.59702,46.097748,0.0635,0.51,9.863,0.058,0.106,0.074,1.43,0.193,0.267,0.069,0.175,0.054,0,1,3,2,1,228.5970833,46.0976944,169,4,15 14 23.30,+46 05 51.7,0.063526,,19.7775,19.334,Simbad,0.24940638871575524
1237659119864250399,6374961990492752515,1050,52721,488,228.5661,46.122212,0.0369,2.42,8.907,0.069,-0.513,0.048,0.807,0.183,0.13,0.052,0.083,0.037,0,1,3,1,1,228.5660833,46.122,169,2,15 14 15.86,+46 07 19.2,0.036942,,19.3752,19.0258,Simbad,0.7643367575833308
1237659326027989189,6371267612096074187,1171,52753,453,244.41974,41.899166,0.0605,1.53,11.026,0.017,-0.181,0.099,1.137,0.271,0.28,0.045,0.213,0.041,0,1,3,7,1,244.4199583,41.8989444,180,1,16 17 40.79,+41 53 56.2,0.060512,,19.8474,19.5405,Simbad,0.9892347692624102
1237659326027989210,6371267612096074175,1171,52753,446,244.44715,41.893547,0.0251,0.7,8.894,0.074,-0.765,0.032,0.853,0.068,0.196,0.018,0.135,0.013,0,1,3,0,1,244.44725,41.8935278,180,2,16 17 47.34,+41 53 36.7,0.02509,,18.7619,18.6417,Simbad,0.2767498238670116
1237659326027989222,6371267612096073951,1171,52753,442,244.45251,41.869263,0.0813,0.79,9.95,0.07,0.426,0.057,1.356,0.187,0.356,0.109,0.248,0.095,0,1,3,2,1,244.453625,41.86925,180,3,16 17 48.87,+41 52 09.3,0.081281,,19.3915,18.9987,Simbad,2.989470851021596
1237659326557061185,6374469468339306774,1164,52674,456,224.70557,53.871128,0.0768,1.72,10.543,0.034,-0.2,0.157,1.768,0.572,0.406,0.088,0.295,0.073,0,1,3,1,1,224.7054583,53.8714444,163,4,14 58 49.31,+53 52 17.2,0.076859,,20.2628,20.0322,Simbad,1.1634534787545912
1237660635997470852,6374117570931327099,1434,53053,503,162.98858,45.607641,0.1312,0.39,10.853,0.034,0.344,0.086,1.056,0.294,0.349,0.08,0.272,0.072,0,1,3,7,1,162.988625,45.6075556,94,1,10 51 57.27,+45 36 27.2,0.131261,,19.8974,19.8669,Simbad,0.3276630397049439
1237660635997470854,6374117570931327058,1434,53053,506,162.99912,45.593134,0.1307,0.43,11.112,0.034,0.503,0.095,1.357,0.298,0.475,0.097,0.376,0.09,0,1,3,7,1,162.9989167,45.5936667,94,2,10 51 59.74,+45 35 37.2,0.130707,,19.8936,19.4203,Simbad,1.9849249268282008
1237660635999895737,6374504624794109357,1441,53083,553,170.69118,46.890702,0.0536,0.08,9.681,0.063,-0.214,0.082,1.42,0.242,0.326,0.102,0.225,0.082,0,1,3,1,1,170.691375,46.8910833,103,4,11 22 45.93,+46 53 27.9,0.053545,,19.4707,19.2903,Simbad,1.4540978378833707
1237660635999895622,6374504624794109272,1441,53083,557,170.6733,46.875111,0.0539,3.3,9.334,0.068,-0.301,0.11,1.436,0.426,0.322,0.14,0.222,0.102,0,1,3,0,1,170.6732083,46.8752778,103,1,11 22 41.57,+46 52 31.0,0.053893,,20.1214,19.2872,Simbad,0.6414839653812168
1237660635999895626,6374504624794109191,1441,53083,554,170.68003,46.854958,0.0531,0.56,9.87,0.053,-0.006,0.056,0.935,0.17,0.256,0.082,0.185,0.068,0,1,3,2,1,170.6800833,46.8552778,103,3,11 22 43.22,+46 51 19.0,0.053068,,18.7206,18.4972,Simbad,1.1587335114638229
1237661124543316198,6378445277689284199,1591,52976,75,137.18217,30.891367,0.0633,0.75,10.751,0.028,0.51,0.049,0.799,0.131,0.236,0.07,0.177,0.061,0,1,3,7,1,137.1824583,30.8914167,77,4,09 08 43.79,+30 53 29.1,0.063449,,17.7566,17.3719,Simbad,0.9084421095359866
