group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2
444034,198.4223641,18.4844768,0.1428351,10.2848,10.6281,12.4061,12.3711,8.3527,8.1445,1.0,1,-1
96152,343.51865261,-8.94111291,0.1377993,10.5375,10.9819,12.8665,12.9349,11.7918,12.4417,0.9,1,1
341817,169.82263096,14.32959281,0.1437707,11.1335,11.405,13.7888,13.5544,26.6081,21.1106,1.0,1,1
157776,323.2616677,10.1325894,0.075822,10.04,10.1302,12.026,11.8044,6.3728,5.4608,1.0,1,1
331819,11.38659992,0.94930756,0.1104632,10.1718,10.6627,12.2269,12.4219,7.3442,8.4497,1.0,-1,-1
129601,190.56822733,6.05490455,0.1300929,10.4556,10.8563,12.715,12.7254,10.4996,10.5829,1.0,1,1
200913,157.61347547,9.36291751,0.0735762,9.9622,10.3426,11.9227,11.9977,5.929,6.2473,1.0,1,1
155725,265.97524527,53.94670169,0.099828,9.9102,10.0616,11.8576,11.7682,5.6663,5.3264,0.995,-1,-1
63364,54.00872397,-7.1047628,0.0973996,10.3842,10.7831,12.5824,12.6062,9.5061,9.6744,1.0,1,1
113892,212.06798162,62.87646367,0.1467007,10.3282,10.5193,12.4806,12.2151,8.8188,7.2827,1.0,1,-1
269620,187.25398024,12.78655655,0.1629878,10.5256,10.862,12.8446,12.735,11.5927,10.6599,1.0,-1,-1
334197,15.80562358,0.51041016,0.0940954,10.1182,10.4019,12.1406,12.0656,6.9076,6.5522,1.0,-1,-1
66248,191.01837144,-3.27016289,0.0953873,10.0247,10.447,12.0054,12.1199,6.2812,6.8079,1.0,-1,-1
367200,176.12441434,33.97199589,0.1108696,10.1482,10.5643,12.1896,12.2792,7.1517,7.6239,1.0,-1,-1
448817,173.02207249,18.50994173,0.0824776,10.2672,10.7259,12.3764,12.5159,8.1757,9.0508,0.74,1,1
371624,224.72998433,25.09166214,0.1238698,10.2749,10.7975,12.3894,12.6289,8.2523,9.8408,1.0,1,1
389154,237.62168665,17.38283614,0.0823978,9.9569,9.9271,11.916,0.0,5.9014,0.0,1.0,-1,0
429477,210.69129342,20.87106255,0.1113399,10.1521,10.5817,12.1957,12.3025,7.1824,7.7513,0.88,-1,-1
295530,240.94862591,5.68172843,0.1603805,10.4436,11.0036,12.6922,12.9711,10.3199,12.8056,1.0,-1,-1
125152,116.88547323,34.06971214,0.0613007,10.4489,10.8997,12.7025,12.7993,10.4001,11.1945,0.85,1,1
383464,242.32582582,17.09039085,0.0393792,9.9068,10.3056,11.8534,11.9569,5.6495,6.0715,0.985,1,1
132272,167.57046581,58.06372938,0.1533953,10.5952,10.9736,12.9728,12.9208,12.8221,12.3034,1.0,-1,-1
89813,167.27947728,2.05726216,0.0572948,10.2068,10.3793,12.2842,12.0393,7.6508,6.4324,1.0,1,1
399426,121.56452855,16.42322984,0.1416802,10.2863,10.7642,12.4087,12.5754,8.3683,9.4565,1.0,1,1
273856,179.01085633,42.37720426,0.1136094,10.35,10.8255,12.5194,12.6742,9.0743,10.1813,1.0,1,1
462303,174.0328207,17.85802069,0.071861,10.31,10.6444,12.4496,12.3953,8.6193,8.287,1.0,1,1
124389,116.93913293,32.86964591,0.1080418,10.2119,10.3508,12.2915,12.0072,7.691,6.2891,1.0,1,-1
89736,159.64084333,2.0111172,0.0730617,9.8075,9.9303,11.7435,0.0,5.2357,0.0,1.0,1,0
389445,209.65892023,25.63440812,0.0633105,10.226,10.6465,12.3123,12.3984,7.8066,8.3054,1.0,1,1
92445,158.34148626,3.16420346,0.1535156,10.391,10.8719,12.5948,12.7518,9.5928,10.7951,1.0,-1,-1
324423,225.89192875,30.40645854,0.0816599,10.2839,10.5163,12.4048,12.2111,8.3444,7.2618,1.0,1,-1
88954,176.93204294,1.82621174,0.0285863,10.2685,10.5412,12.3786,12.2471,8.1887,7.4497,0.99,1,1
462497,191.37243275,16.29427936,0.0852621,9.8565,10.2463,11.795,11.8982,5.4256,5.8278,1.0,-1,-1
258804,218.43689069,38.7946696,0.1688413,10.6003,11.0906,12.9819,13.1096,12.9155,14.3131,1.0,-1,-1
181631,153.04354975,47.33083167,0.1266263,10.1379,10.4103,12.1726,12.0751,7.0666,6.5964,1.0,-1,-1
89218,201.26637721,1.72653189,0.0778983,10.0149,10.0045,11.9924,11.7435,6.2242,5.236,1.0,1,1
382146,218.71350595,24.71650443,0.079649,10.0424,10.4622,12.0289,12.1399,6.3857,6.9041,1.0,1,1
290043,222.79535472,6.97924277,0.1284689,10.4501,10.9788,12.7047,12.9298,10.4175,12.3919,1.0,1,1
287019,174.23141498,39.56294749,0.1355357,10.1456,10.4002,12.1849,12.0637,7.1283,6.5435,1.0,-1,-1
124701,145.35110249,53.06163304,0.1228552,10.4814,10.9031,12.7624,12.8048,10.8845,11.2426,1.0,1,1
113862,206.99834397,63.87232956,0.1057276,10.3216,10.3725,12.4691,12.0314,8.7449,6.3971,1.0,1,-1
293538,211.39866308,7.02868223,0.1387287,10.3454,10.5009,12.5113,12.1903,9.0196,7.1551,1.0,1,-1
377703,181.47102307,33.45312829,0.1263976,10.2328,10.2824,12.3225,11.9333,7.8643,5.9729,1.0,1,-1
106811,317.89186705,9.11580287,0.0591888,9.8868,10.2842,11.8298,11.9352,5.5586,5.9809,1.0,1,1
131160,255.35076838,38.3421953,0.142356,10.2742,10.4852,12.3883,12.1698,8.246,7.0526,1.0,1,-1
459276,237.50917208,14.99623368,0.0769527,10.3412,10.8087,12.5034,12.6471,8.9668,9.9738,0.895,1,1
179675,118.83984243,26.96008785,0.13361,10.3179,10.7591,12.4627,12.5673,8.704,9.3998,1.0,1,1
165124,17.53006133,0.74537661,0.0803475,10.1064,10.3743,12.1223,12.0334,6.8194,6.4058,1.0,-1,-1
438691,201.31605659,22.89598556,0.1171967,10.0213,10.3087,12.0012,11.9603,6.2623,6.0864,1.0,-1,-1
321813,245.09741422,19.61250788,0.0795865,10.4738,10.854,12.7486,12.7215,10.7692,10.5517,0.895,1,1
438249,214.26700106,20.76163766,0.1095544,9.9766,10.104,11.9411,11.7893,6.005,5.4043,1.0,-1,-1
325164,0.12866883,-1.21303766,0.0753509,10.2209,10.4363,12.3045,12.1071,7.7627,6.7463,1.0,1,1
292725,191.70567113,11.11605286,0.114902,10.2315,10.6084,12.3206,12.342,7.8537,7.9745,1.0,1,-1
141739,174.87822318,62.94658236,0.0688389,9.8344,10.192,11.771,11.8504,5.3367,5.6375,1.0,1,1
385246,221.28517278,24.21951214,0.0383703,9.9913,10.0756,11.9603,11.7744,6.0863,5.3491,1.0,1,1
225676,136.32310092,8.09980969,0.1291654,10.1392,10.6175,12.1748,12.3556,7.0774,8.0531,1.0,-1,-1
168474,144.38578612,47.69981659,0.0895002,9.9485,10.1877,11.9049,11.8466,5.8553,5.6229,1.0,-1,-1
453303,237.67568427,12.09098843,0.1388123,10.1919,10.43,12.2611,12.0995,7.5252,6.7095,1.0,-1,-1
